id,startstop,ligne,endstop,dir,ridedist
622,504,L3,32,2,8524
623,1678,L9,41,2,10575
624,42,L21,404,2,5775
625,768,L5,1,2,10400
626,52,L10,1,2,9824
627,154,L13,18,1,8375
628,154,L13,65,1,7450
629,154,L13,59,1,3950
630,154,L13,58,1,3600
631,18,TX1,376,1,1925
632,154,L13,159,1,1075
633,410,TX8,376,2,7400
634,768,L27,180,2,8425
635,768,L27,65,2,7175
636,768,L27,59,2,3675
637,768,L27,463,2,2975
638,1671,L66,1,2,7625
639,180,TX1,376,1,2200
640,768,L27,460,2,1925
641,52,L6,381,2,9974
642,52,L6,66,2,7249
643,52,L6,988,2,5175
644,52,L6,29,2,5950
645,52,L6,32,2,8674
646,52,L6,1657,2,2474
647,52,L6,382,2,10424
648,2302,BRT2,6212,2,900
649,66,TX1,376,1,1875
650,32,TX6,376,1,199
651,381,TX6,376,2,499
652,32,TX8,376,2,150
653,32,TX10,376,1,175
654,381,TX10,376,2,550
655,52,L9,364,1,15224
656,52,L9,18,1,7749
657,52,L9,65,1,6825
658,52,L9,59,1,3324
659,52,L9,1691,1,12399
660,52,L9,1656,1,2000
661,52,L9,58,1,2974
662,39,BRT2,6212,2,6650
663,58,TX8,376,2,6275
664,52,L9,366,1,16524
665,366,TX10,376,2,5325
666,1,L10,45,1,8375
667,375,L20,90,1,6249
668,90,L21,55,1,9324
669,375,L6,188,1,10349
670,52,L10,54,2,1325
671,52,L13,54,1,2450
672,375,L6,2,1,1399
673,375,L6,18,1,2924
674,180,L13,45,2,6299
675,375,L6,1646,1,7899
676,399,L21,44,2,1675
677,507,L33,90,1,4400
678,6211,BRT4,12,1,4474
679,6212,BRT2,45,2,2900
680,6212,BRT4,45,2,2850
681,507,TX14,90,2,4075
682,507,TX6,90,1,4400
683,507,TX6,1,2,749
684,507,TX10,1,2,700
685,76,L20,380,2,6750
686,6992,BRT4,46,2,5974
687,75,L11,79,1,1050
688,79,L33,506,2,5125
689,75,L11,3,1,7825
690,31,L15,215,2,1350
691,31,L1,1,2,1399
692,31,L10,1,2,1400
693,31,L14,1,2,1399
694,31,L16,1,2,1399
695,31,L3,1,2,1400
696,31,L4,1,2,1400
697,31,L5,1,2,1400
698,31,L66,1,2,1400
699,75,L11,33,1,8350
700,75,L11,2,1,7400
701,2,TX1,506,1,474
702,2,TX6,506,1,99
703,79,TX6,506,2,5050
704,75,L11,82,1,4000
705,82,TX8,506,2,2524
706,2,TX10,506,1,75
707,76,L18,79,1,1025
708,76,L18,18,1,8225
709,76,L18,65,1,7300
710,76,L18,64,1,6825
711,76,L18,82,1,4000
712,76,L21,79,2,1025
713,93,L21,55,1,8249
714,55,L10,1,2,8249
715,93,L21,394,1,6174
716,207,L14,1,2,9124
717,93,L21,398,1,9799
718,93,L21,396,1,7274
719,461,L5,1,2,8150
720,93,L21,395,1,6549
721,1670,L66,1,2,9325
722,402,TX8,506,2,7825
723,91,L12,124,1,3025
724,131,L33,506,2,8549
725,6991,BRT4,8051,1,2699
726,76,TX15,131,1,4200
727,76,TX15,79,2,249
728,76,TX11,207,1,5250
729,76,TX11,396,1,5949
730,76,TX11,1670,1,5349
731,76,TX11,402,1,5525
732,76,TX11,79,2,700
733,76,TX11,118,2,350
734,6992,TX6,506,2,5300
735,365,L20,376,1,6975
736,1,L1,13,1,5624
737,365,L20,85,1,7875
738,84,L12,22,2,5274
739,215,L15,22,1,3849
740,365,L6,2,1,7874
741,365,L6,18,1,9399
742,18,L1,22,2,2025
743,2,L12,22,2,3549
744,18,L13,22,1,2025
745,18,L38,22,1,2000
746,1508,L44,22,1,1725
747,1508,L441,1576,1,1700
748,391,L7,144,1,9650
749,111,L12,13,1,2599
750,391,L7,163,1,7800
751,178,L13,13,2,1774
752,391,L7,145,1,10000
753,1268,L38,13,2,2650
754,391,L9,34,2,9074
755,5,L1,13,1,3449
756,391,L9,321,2,7449
757,19,L1,22,2,1225
758,19,L12,22,2,1199
759,19,L13,22,1,1225
760,19,L15,22,1,1225
761,19,L38,22,1,1225
762,19,L44,22,1,1200
763,19,L441,1576,1,1175
764,7772,BRT2,46,2,7000
765,7772,BRT2,45,2,8900
766,391,TX4,18,2,5474
767,18,L12,22,2,2024
768,18,L15,22,1,2024
769,391,TX4,1508,2,5474
770,391,TX13,164,1,6200
771,177,L13,13,2,2425
772,327,L18,330,2,900
773,327,L20,330,1,925
774,327,L21,330,1,924
775,306,L18,76,1,899
776,94,L11,98,2,1625
777,306,L18,308,1,574
778,308,TX15,71,1,1650
779,306,L20,76,2,874
780,306,L20,308,2,575
781,306,L21,76,2,899
782,306,L21,308,2,599
783,378,L20,380,2,9375
784,301,L18,79,1,3674
785,301,L18,18,1,10875
786,301,L18,65,1,9950
787,301,L18,64,1,9475
788,301,L18,77,1,2924
789,18,TX1,380,1,1925
790,77,TX6,380,2,5200
791,301,L18,82,1,6650
792,82,TX8,380,2,2524
793,379,L21,79,2,3574
794,379,L21,77,2,2824
795,377,L21,55,1,5749
796,377,L21,394,1,3674
797,377,L21,398,1,7300
798,377,L21,396,1,4775
799,377,L21,395,1,4049
800,402,TX8,380,2,7825
801,301,TX11,207,1,3375
802,301,TX11,396,1,4074
803,301,TX11,1670,1,3475
804,301,TX11,402,1,3650
805,301,TX11,79,2,2600
806,301,TX11,6992,2,2350
807,301,TX11,92,2,2125
808,92,TX6,380,2,5200
809,1331,L7,364,2,4649
810,364,L20,331,1,16574
811,1331,L9,364,1,4649
812,1342,L4,1345,2,1125
813,319,L18,331,2,12049
814,376,L20,331,1,9025
815,1342,L4,66,2,3049
816,66,L11,98,2,10175
817,1342,L7,314,1,1375
818,1342,L9,41,2,7350
819,42,L21,302,2,7200
820,1342,L9,1345,2,1125
821,1342,L9,180,2,2750
822,1342,TX9,321,2,2449
823,321,L18,331,2,11099
824,1342,TX9,18,2,2724
825,1342,TX3,164,1,700
826,177,L18,331,2,13249
827,1342,TX13,164,1,1025
828,1342,TX13,363,2,4324
829,363,L20,331,1,16749
830,1,L3,466,1,8750
831,1,L16,229,1,7450
832,180,L23,466,1,5475
833,159,L13,18,1,7300
834,771,L28,772,1,1449
835,18,L17,261,1,1499
836,619,L26,261,1,1275
837,619,L261,261,1,1275
838,619,L262,261,1,1275
839,18,TX4,295,1,1049
840,18,TX9,295,1,1050
841,18,TX7,295,1,1074
842,158,L27,180,2,7550
843,180,TX4,295,1,1049
844,180,TX9,295,1,1050
845,180,TX7,295,1,1074
846,158,L5,66,2,7250
847,460,L22,180,2,6500
848,460,L43,18,2,6175
849,1667,L66,1671,2,2625
850,407,L22,409,1,774
851,407,L27,409,1,774
852,407,L43,409,1,774
853,407,L5,409,1,799
854,1667,L66,209,2,1524
855,394,L21,396,1,1100
856,1667,L66,1672,2,3225
857,42,L21,401,2,2125
858,41,L13,181,2,2225
859,3,BRT1,5,1,1025
860,1671,TX5,409,1,874
861,402,TX5,409,2,449
862,1671,TX8,409,1,874
863,402,TX8,409,2,449
864,766,L27,767,2,624
865,766,L27,180,2,9325
866,766,L5,767,2,624
867,766,L5,32,2,10449
868,766,L5,66,2,9024
869,1,L3,954,1,7000
870,2,L6,1646,1,6499
871,34,L9,1647,2,4750
872,1,L10,44,1,8025
873,1654,L6,1657,2,1350
874,180,L9,1647,2,5599
875,1654,L9,1656,1,875
876,1,L16,227,1,6600
877,980,L3,982,2,600
878,1680,L9,1647,2,10549
879,1,L5,741,1,10225
880,32,L6,388,2,5674
881,388,L9,1647,2,15824
882,215,TX1,180,2,1974
883,215,TX8,37,1,4425
884,37,L9,1647,2,3124
885,215,TX10,388,1,4575
886,215,L15,218,1,6024
887,363,L6,18,1,10149
888,1508,L44,1509,1,4199
889,1508,L441,1580,1,4199
890,363,L6,2,1,8624
891,24,BRT3,53,1,7274
892,862,L7,1345,1,5700
893,19,BRT3,53,1,5599
894,862,L9,321,2,6574
895,19,L44,1509,1,3674
896,19,L441,1580,1,3674
897,19,L15,218,1,3400
898,862,L9,1345,2,5724
899,39,BRT2,45,2,9550
900,862,TX4,1508,2,4599
901,862,TX4,18,2,4599
902,18,L15,218,1,4200
903,862,TX4,2071,2,4474
904,2071,BRT3,53,1,6599
905,862,TX7,1508,2,4500
906,862,TX7,321,2,4225
907,862,TX7,2071,2,4375
908,862,TX13,164,1,5325
909,20,BRT3,53,1,4575
910,32,L11,97,2,8450
911,2,L1,5,1,1924
912,34,L18,330,2,9049
913,2,L10,18,1,1525
914,180,L18,330,2,9924
915,2,L10,42,1,6775
916,2,L16,18,1,1525
917,2,L3,18,1,1525
918,2,L3,953,1,6500
919,399,L21,303,2,8250
920,2,L4,18,1,1525
921,2,L5,18,1,1525
922,2,L5,406,1,6400
923,2,L5,409,1,7600
924,396,TX11,72,2,4750
925,2,L66,18,1,1525
926,2,L66,1658,1,6525
927,2,L66,193,1,7875
928,193,TX11,72,2,4600
929,32,L12,86,1,2374
930,86,L18,330,2,6599
931,32,L12,85,1,1299
932,85,L20,330,1,7699
933,32,L12,90,1,6149
934,90,L21,330,1,2849
935,102,TX15,72,1,2050
936,12,TX11,72,1,1900
937,375,L20,330,1,9099
938,1,L14,194,1,8200
939,1,L14,205,1,9225
940,205,TX11,72,2,4075
941,3,L15,18,1,1099
942,14,BRT4,4231,1,4624
943,88,L18,330,2,3649
944,14,BRT4,12,1,5399
945,12,TX15,72,1,2050
946,362,TX1,376,1,524
947,376,L20,330,1,8599
948,362,TX1,180,2,1624
949,55,L10,65,2,5049
950,5,L1,8,1,1449
951,18,L1,26,2,4150
952,55,L13,65,1,5050
953,1654,L6,28,2,4575
954,6,L1,8,1,1024
955,1654,L6,66,2,6124
956,1654,L9,65,1,5700
957,1654,L9,18,1,6625
958,395,L21,398,1,3250
